Sample ID,Date,Site name,Day,Month,Year,Time,Time rounded,Notes,Temperature (oC),pH,Gran alkalinity μeq/L,Suspended solids mg/L,Soluble reactive phosphorus (μg/L),Total dissolved phosphorus (μg/L),Total phosphorus (μg/L),Total reactive phosphorus (μg/l),Dissolved ammonium (NH4) (mg/l),Dissolved silicon (mg Si/L) ,Chlorophyll-a (μg/L),Dissolved fluoride (mg F/L),Dissolved chloride (mg Cl/L),Dissolved nitrite (mg NO2/L),Dissolved nitrate (NO3),Dissolved Nitrate-N (mg N/L),Dissolved sulphate (mg SO4/L),Total dissolved nitrogen (mg N/L),N check,Dissolved organic carbon (mg/L),Field pH,Conductivity,Eh,DO Temp,% DO,DO     mg/l,,Dissolved Al (ppm),Dissolved B (ppb),Dissolved Ca (ppm),Dissolved Fe (ug/l)),Dissolved K (mg/l),Dissolved Mg (mg/l),Dissolved Na (mg/l),Dissolved P (ppm),Dissolved S (ppm),Dissolved Si (ppm),Dissolved Mn (ug/l),Dissolved Zn (ug/l),Dissolved Cu (ug/l),,Total Na (mg/l),Total Ca (mg/l),Total Mg (mg/l),Total B (ug/l),Total Fe (ug/l),Total Mn (ug/l),Total Zn (ug/l),Total Cu (ug/l),Total Al (ug/l),,Mean daily flow (m3/s),,,FC analysis Date,Green_diatoms,Green_meso,Green meso 2,Green_pico,Crypto 1,Crypto 2,Crypto 3,Cyano1,Cyano2,Cyano3,Cyano4,,Diatoms,Chlorophytes,Crypto,Cyanobacteria,Total phytoplankton,% cyanobacteria
TC1,05/09/16,Thame at Wheatley,5,9,16,9:40,9:45,,16.5,8.57,4054,7.84,712,808,824,,0.092,8.36,2.72,0.18,85.33,0.10,64.59,14.58,78.65,16.02,14.65,5.04,7.77,925.5,73,,,,,<LOD,69.3,106,17,16.2,4.81,62.1,0.83,27.7,8.76,,,,,,,,,,,,,,,0.808,,,06/09/2016,130,928,159,7874,34,63,10,72,63,14,159,,130,8961,106,308,9504,3
TC1,12/09/16,Thame at Wheatley,12,9,16,9:40,9:45,,16.4,7.8,3771,8.27,808,796,856,,0.030,8.86,2.02,0.20,84.42,0.06,63.09,14.25,75.38,15.42,14.26,5.36,7.09,904,107,,,,,<LOD,68.7,101,28,15.8,4.62,57,0.794,26.1,8.98,,,,,,,,,,,,,,,0.832,,,13/09/2016,313,818,135,7167,24,29,5,120,111,10,115,,313,8119,58,356,8845,4
TC1,19/09/16,Thame at Wheatley,19,9,16,9:20,9:15,,15.9,7.76,3776,10.35,644 ,704 ,748 ,,0.054,8.91,2.31,0.19,72.60,0.05,55.84,12.61,75.06,13.32,12.65,5.34,7.65,844.8,47,,,,,<LOD,71.6,97.2,27,15.3,4.41,51.4,0.688,26.5,8.89,,,,,,,,,,,,,,,1.38,,,20/09/2016,265,813,192,4170,34,48,10,125,337,0,77,,265,5175,91,539,6070,9
TC1,26/09/16,Thame at Wheatley,26,9,16,9:30,9:30,,15.1,7.89,3796,8.63,770,826,896,,0.078,9.07,1.81,0.19,71.30,0.07,49.27,11.13,79.41,11.54,11.18,4.58,7.22,863.3,86,,,,,<LOD,75.7,104,25,14.6,4.83,52.6,0.827,29.1,8.94,,,,,,,,,,,,,,,0.809,,,27/09/2016,168,688,139,4468,24,38,10,48,77,10,67,,168,5296,72,202,5738,4
TC1,03/10/16,Thame at Wheatley,3,10,16,9:40,9:45,,12.4,7.87,4279,9.07,748,868,894,,0.082,8.59,1.37,0.18,80.06,0.03,61.72,13.94,82.16,15.60,14.00,5.00,7.72,893.1,46,,,,,<LOD,73.5,106,20,15.7,4.88,57.4,0.825,29.2,8.82,,,,,,,,,,,,,,,0.859,,,,,,,,,,,,,,,,0,0,0,0,0,#DIV/0!
TC1,10/10/16,Thame at Wheatley,10,10,16,9:35,9:30,,11.3,7.87,4087,9.57,741,836,870,,0.022,8.31,1.82,0.19,78.41,0.09,65.62,14.82,80.72,16.48,14.83,4.74,7.29,899,87,,,,,<LOD,68.4,107,34,15.4,4.82,56,0.835,28.9,8.48,,,,,,,,,,,,,,,0.673,,,,,,,,,,,,,,,,0,0,0,0,0,#DIV/0!
TC1,17/10/16,Thame at Wheatley,17,10,16,9:30,9:30,,11.3,7.91,3916,6.81,684,800,822,,0.036,8.45,2.01,0.13,82.03,0.04,72.98,16.48,81.50,19.16,16.50,4.80,8.2,908,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.808,,,,,,,,,,,,,,,,0,0,0,0,0,#DIV/0!
TC1,24/10/16,Thame at Wheatley,24,10,16,9:50,9:45,,9.8,7.81,3939,5.26,600,631,639,,0.039,8.39,1.80,0.18,80.18,0.08,61.56,13.90,77.94,15.70,13.93,5.16,7.16,890.1,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.746,,,26/10/2016,72,192,500,1366,10,10,10,24,38,0,34,,72,2059,29,96,2256,4
TC1,31/10/16,Thame at Wheatley,31,10,16,9:30,9:30,,11.7,7.84,3844,5.69,660,686,742,,0.056,8.85,1.41,0.11,83.03,0.08,77.36,17.47,83.13,20.58,17.51,5.24,7.21,943.6,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.757,,,01/11/2016,168,428,87,1727,5,19,5,34,5,0,106,,168,2241,29,144,2583,6
TC1,07/11/16,Thame at Wheatley,7,11,16,9:30,9:30,,6.4,7.94,3515,4.55,700,764,1054,,0.078,8.38,0.90,0.15,94.22,0.08,83.25,18.80,100.78,18.72,18.85,5.18,7.29,955.1,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.826,,,08/11/2016,29,188,58,1265,0,5,14,38,10,0,5,,29,1510,19,53,1611,3
TC1,14/11/16,Thame at Wheatley,14,11,16,9:30,9:30,,7.8,7.74,3543,4.25,464,468,544,,0.045,6.87,1.14,0.19,62.77,0.03,47.34,10.69,74.42,11.54,10.72,6.60,7.15,760.6,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,,,15/11/2016,96,308,72,1727,29,10,0,43,24,5,48,,96,2107,38,120,2362,5
TC1,21/11/16,Thame at Wheatley,21,11,16,9:30,9:30,,7.3,7.87,4034,13.56,494,542,582,,0.067,6.80,1.42,0.21,68.27,0.08,52.70,11.90,84.68,12.80,11.95,6.90,7.26,822.9,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,22/11/2016,72,505,58,1539,38,135,0,106,221,34,67,,72,2102,173,428,2775,15
TC1,28/11/16,Thame at Wheatley,28,11,16,9:40,9:45,,7.3,7.84,4265,4.39,357,416,466,,0.077,7.43,1.15,0.30,56.45,0.12,59.52,13.44,96.95,15.14,13.50,8.7,7.59,843.8,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,,,29/11/2016,24,385,34,1380,0,5,5,5,14,0,5,,24,1799,10,24,1857,1
TC1,05/12/16,Thame at Wheatley,5,12,16,9:40,9:45,,2.6,7.94,4802,2.38,409,438,466,,0.071,8.05,0.67,0.19,68.27,0.00,62.14,14.03,92.20,15.8,14.08,7.04,7.52,899.7,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,,,06/12/2016,10,125,14,572,10,0,0,0,0,0,0,,10,712,10,0,731,0
TC1,12/12/16,Thame at Wheatley,12,12,16,9:35,9:30,High and turbid after weekend rain,8.2,7.78,3638,19.37,364,362,442,,0.068,6.89,3.72,0.26,59.12,0.13,76.87,17.36,83.10,19.78,17.40,8.58,7.41,825.3,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45,,,14/12/2016,38,322,38,928,10,48,10,24,14,0,0,,38,1289,67,38,1433,3
TC1,03/01/17,Thame at Wheatley,3,1,17,9:40,9:45,,3.8,7.91,4294,11.05,388,388,460,,0.136,6.79,1.97,0.24,64.57,0.55,62.00,14.00,92.04,17.18,14.10,7.64,7.38,883.3,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35,,,05/01/2017,34,139,38,774,14,19,0,19,38,0,5,,34,952,34,63,1082,6
TC1,09/01/17,Thame at Wheatley,9,1,17,9:35,9:30,,7.3,7.87,4371,7.23,323,340,358,,0.123,6.21,2.05,0.29,65.31,0.13,62.19,14.04,95.33,16,14.13,7.02,7.34,895.5,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65,,,12/01/2017,67,207,58,923,29,34,0,29,19,14,5,,67,1188,63,67,1385,5
TC1,16/01/17,Thame at Wheatley,16,1,17,9:45,9:45,Higher and cloudy after rain.,5.8,7.82,2792,33.13,215,268,373,,0.159,5.34,4.32,0.30,52.56,0.12,68.91,15.56,79.56,17.76,15.68,10.44,7.45,764.5,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.17,,,18/01/2017,101,664,202,3083,58,130,19,77,48,43,14,,101,3949,207,183,4439,4
TC1,23/01/17,Thame at Wheatley,23,1,17,9:30,9:30,,2.2,7.93,3856,3.53,219,237,250,,0.069,6.1,0.48,0.44,50.60,0.08,57.34,12.95,96.62,14.44,13.00,8.24,7.66,855.5,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48,,,25/01/2017,43,231,53,1193,19,19,10,29,10,0,0,,43,1477,48,38,1606,2
TC1,30/01/17,Thame at Wheatley,30,1,17,9:35,9:30,High and turbid after rain,5.6,7.87,3824,43.55,240,281,344,,0.105,6.1,1.46,0.29,56.88,0.06,53.55,12.09,89.25,12.54,12.17,9.6,7.58,845.2,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.16,,,01/02/2017,34,82,34,351,19,34,0,5,14,0,0,,34,467,53,19,572,3
TC1,06/02/17,Thame at Wheatley,6,2,17,9:50,9:45,Higher after rain,5.2,7.84,4304,10.53,189,222,267,,0.045,5.61,2.04,0.35,45.61,0.10,61.13,13.80,89.49,13.86,13.83,9.54,7.69,803.4,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.36,,,07/02/2017,77,548,43,2035,24,29,5,29,29,5,14,,77,2626,58,77,2838,3
TC1,13/02/17,Thame at Wheatley,13,2,17,9:25,9:30,,3.9,8.01,3905,5.4,205,238,255,,0.064,5.93,1.31,0.36,51.90,0.10,55.02,12.42,96.72,13.08,12.47,7.66,7.56,860,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,,,15/02/2017,82,495,77,1606,19,19,0,24,24,0,5,,82,2179,38,53,2352,2
TC1,21/02/17,Thame at Wheatley,21,2,17,9:20,9:15,,9.7,7.96,4436,8.2,237,271,307,,0.04,4.71,2.05,0.36,50.00,0.05,52.14,11.77,99.73,13.78,11.80,8.4,7.78,861,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35,,,22/02/2017,120,539,82,2251,10,29,10,10,14,10,24,,120,2871,48,58,3097,2
TC1,27/02/17,Thame at Wheatley,27,2,17,9:40,9:45,,8.4,8.08,3672,6.22,253,296,318,,0.032,5.21,n/a,0.22,0.00,0.02,49.55,11.19,95.83,12.08,11.21,7.66,8.28,889.9,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86,,,02/03/2017,240,1380,154,4319,10,29,10,29,14,5,53,,240,5853,48,101,6243,2
TC1,06/03/17,Thame at Wheatley,6,3,17,9:30,9:30,High flow and turbid,7.4,7.83,3592,33.45,202,251,331,,0.06,4.77,5.97,0.34,40.05,0.06,53.86,12.16,79.73,13.62,12.20,12.54,7.55,721.5,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.67,,,08/03/2017,135,337,77,904,10,24,5,34,34,0,19,,135,1318,38,87,1578,5
TC1,13/03/17,Thame at Wheatley,13,3,17,9:20,9:15,,9.8,7.98,4413,7.49,223,240,286,,0.03,4.65,4.06,0.35,49.09,0.04,44.00,9.94,93.39,11.12,9.96,7.96,7.56,845.3,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,17/03/2017,144,822,168,2900,29,19,19,293,24,0,34,,144,3891,67,351,4454,8
TC1,3/21/17,Thame at Wheatley,21,3,17,9:40,9:45,,9.8,8.03,4755,9.78,246,295,337,,0.032,4.8,6.37,0.22,54.87,0.46,49.15,11.10,96.43,11.8,11.12,6.9,7.54,882.3,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,,,23/03/2017,226,1236,188,6748,29,19,5,192,43,0,77,,226,8172,53,313,8763,4
TC1,3/27/17,Thame at Wheatley,27,3,17,9:25,9:30,,9.1,8.19,4576,5.84,234,266,307,,0.034,3.47,3.4,0.28,57.12,0.00,47.64,10.76,94.00,11.88,10.78,7.72,7.61,881.1,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,29/03/2017,173,1289,139,4714,29,24,5,212,24,5,221,,173,6142,58,462,6835,7
TC1,4/3/17,Thame at Wheatley,3,4,17,9:25,9:30,,11.3,8.28,4601,5.39,255,297,321,,0.007,2.59,6.1,0.26,62.46,0.02,54.66,12.34,89.78,13.94,12.34,6.4,7.93,882.9,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,05/04/2017,491,2665,192,5810,63,29,10,630,72,0,337,,491,8667,101,1039,10298,10
TC1,4/10/17,Thame at Wheatley,10,4,17,9:40,9:45,,13,8.31,4810,3.41,267,319,340,,0.037,1.54,11.03,0.22,68.19,0.02,49.47,11.17,83.82,12.02,11.20,6.18,7.89,890.6,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,,,12/04/2017,832,2179,125,4454,87,24,14,976,43,0,616,,832,6758,125,1635,9350,17
TC1,4/18/17,Thame at Wheatley,18,4,17,9:20,9:15,,13.3,8.09,4624,6.42,328,374,403,,0.034,2.54,8.23,0.20,70.53,0.00,60.11,13.57,83.18,14.78,13.60,6.28,7.92,887.1,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,,20/04/2017,361,1664,168,4040,53,14,0,293,24,0,351,,361,5873,67,669,6969,10
TC1,4/23/17,Thame at Wheatley,23,4,17,9:00,9:00,,11.3,8.05,4351,4.52,347,402,433,,0.026,2.54,4.65,0.19,69.17,0.04,56.14,12.68,82.09,14.08,12.69,5.28,7.79,890.9,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,,28/04/2017,298,3126,505,8513,82,34,38,1433,265,0,125,,298,12145,154,1823,14420,13
TC1,5/2/17,Thame at Wheatley,2,5,17,9:30,9:30,,11.9,8.12,4286,5.34,379,414,420,,0.05,2.71,7.3,0.19,72.35,0.58,68.08,15.37,80.79,17.22,15.41,5.84,7.79,892.9,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,,04/05/2017,346,4016,135,3752,43,19,5,539,38,0,168,,346,7902,67,746,9062,8
TC1,5/8/17,Thame at Wheatley,8,5,17,9:40,9:45,,12.6,7.95,4101,6.89,423,462,500,,0.074,3.21,3.98,0.21,76.91,0.09,63.83,14.41,78.10,16.34,14.47,6.04,7.6,904.3,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.964,,,10/05/2017,298,2693,72,3073,38,38,14,178,48,0,173,,298,5839,91,399,6628,6
TC1,5/15/17,Thame at Wheatley,15,5,17,9:35,9:30,,14.8,7.88,4155,7.75,442,463,511,,0.029,3.65,5.99,0.13,77.39,0.11,77.59,17.52,77.90,18.48,17.54,6.74,7.78,923.4,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,17/05/2017,428,3444,308,4338,5,43,0,351,29,0,255,,428,8090,48,635,9201,7
TC1,5/23/17,Thame at Wheatley,23,5,17,9:40,9:45,,16,7.89,3770,10.25,380,472,496,,0.057,5.53,3.14,0.30,52.36,0.07,51.72,11.68,78.74,12.84,11.72,8.86,7.21,769.3,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,,,25/05/2017,226,2386,72,3603,67,53,5,327,106,14,72,,226,6060,125,519,6931,7
TC1,5/30/17,Thame at Wheatley,30,5,17,9:20,9:15,A slight sewage smell around,18,7.78,4347,10.38,494,594,638,,0.1,6.65,4.01,0.18,69.01,0.47,62.76,14.17,86.09,15.56,14.25,7.92,7.54,889.1,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,,,31/05/2017,197,1794,87,13886,34,43,10,178,24,5,43,,197,15766,87,250,16300,2
TC1,6/5/17,Thame at Wheatley,5,6,17,9:40,9:45,,16.7,7.88,4133,8.76,548,570,634,,0.006,7.81,1.94,0.16,72.90,0.08,49.21,11.11,77.83,12.74,11.11,7.22,7.73,882.9,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,06/06/2017,101,467,91,6123,34,24,14,226,38,0,63,,101,6681,72,327,7181,5
TC1,6/12/17,Thame at Wheatley,12,6,17,9:30,9:30,,17.3,7.89,3878,6.87,498,556,600,,0.045,7.06,1.78,0.18,70.26,0.07,55.81,12.60,70.96,14.38,12.63,6.36,7.54,820.3,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,,,13/06/2017,53,702,106,10105,10,10,0,265,38,5,38,,53,10913,19,346,11332,3
TC1,6/19/17,Thame at Wheatley,19,6,17,9:30,9:30,,21.7,7.86,3451,5.46,570,584,627,,0.012,7.29,2.3,0.15,80.34,0.14,55.54,12.54,82.91,14.64,12.55,7.84,7.43,898.5,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.884,,,20/06/2017,96,1020,101,15194,19,10,0,313,34,5,48,,96,16315,29,399,16839,2
TC1,6/26/17,Thame at Wheatley,26,6,17,9:25,9:30,,18.8,7.86,4072,6.99,694,742,786,,0.046,9.09,1.34,0.09,88.51,0.08,59.74,13.49,85.94,15.72,13.52,6.04,7.81,956.3,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.741,,,27/06/2017,82,630,43,8778,29,5,5,390,14,5,77,,82,9451,38,486,10057,5
TC1,7/3/17,Thame at Wheatley,3,7,17,9:30,9:30,,18,7.8,4217,7.65,660,712,712,,0.075,8.71,1.34,0.09,92.15,0.04,63.23,14.28,86.35,16.8,14.33,6.9,7.57,962.1,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,,,04/07/2017,82,313,38,2915,10,10,10,332,34,5,29,,82,3266,29,399,3776,11
TC1,7/10/17,Thame at Wheatley,10,7,17,9:20,9:15,,20.6,7.76,4106,6.84,610,668,696,,0.025,8.02,1.99,0.12,87.23,0.10,56.97,12.86,83.88,15.26,12.88,6.36,7.78,933,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666,,,10/07/2017,226,919,96,8682,14,5,10,529,43,0,130,,226,9696,29,702,10654,7
TC1,7/17/17,Thame at Wheatley,17,7,17,9:20,9:15,,18.1,7.76,3617,6.11,636,698,712,,0.033,8.47,2.71,0.08,97.04,0.06,81.41,18.38,87.49,21.08,18.40,6.48,7.65,976.1,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,18/07/2017,53,322,38,1991,10,58,5,351,24,0,82,,53,2352,72,457,2934,16
TC1,7/24/17,Thame at Wheatley,24,7,17,9:40,9:45,,17.3,7.76,3748,7.29,618,666,694,,0.055,8.43,2.75,0.13,89.31,0.04,67.44,15.23,83.28,16.5,15.27,7.02,7.64,921,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,,25/07/2017,125,308,77,2035,0,29,14,130,43,5,111,,125,2419,43,289,2876,10
TC1,7/31/17,Thame at Wheatley,31,7,17,9:30,9:30,,17,7.67,3775,6.48,624,666,710,,0.044,7.72,22.55,0.20,69.92,0.05,47.62,10.75,73.03,10.86,10.78,5.88,7.62,799.1,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,,01/08/2017,29,274,82,1977,24,24,5,289,24,14,106,,29,2333,53,433,2847,15
TC1,8/7/17,Thame at Wheatley,7,8,17,9:10,9:15,,17.8,7.85,3647,5.16,488,524,560,,0.035,7.41,3.63,0.18,61.90,0.00,32.09,7.25,72.18,7.84,7.27,6,7.65,753,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,08/08/2017,231,332,63,1717,34,29,14,313,29,14,130,,231,2111,77,486,2905,17
TC1,8/14/17,Thame at Wheatley,14,8,17,9:30,9:30,,18.5,7.76,3488,5.59,560,586,594,,0.033,7.5,1.3,0.22,56.71,0.02,45.01,10.16,74.95,10.3,10.19,7.52,7.39,744.5,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66,,,15/08/2017,139,260,58,1207,19,10,5,188,14,0,24,,139,1525,34,226,1924,12
TC1,8/21/17,Thame at Wheatley,21,8,17,9:25,9:30,,16.4,7.7,3899,5.9,534,568,620,,0.022,7.1,1.81,0.17,69.91,0.00,49.27,11.13,81.63,12.58,11.14,6.27,7.7,848.7,152,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1.56,,,23/08/2017,120,197,96,1308,10,29,5,457,43,0,96,,120,1602,43,596,2362,25
TC1,8/29/17,Thame at Wheatley,29,8,17,9:25,9:30,,18,7.82,3683,7.98,485,514,613,,0.033,6.96,3.14,0.18,73.39,0.04,46.23,10.44,82.00,11.18,10.46,5.56,7.72,862.8,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.742,,,30/08/2017,197,346,101,2900,48,19,34,289,0,5,197,,197,3348,101,491,4136,12
TC1,9/4/17,Thame at Wheatley,4,9,17,9:25,9:30,,15.6,7.75,3399,5.72,572,595,754,,0.032,6.81,3.21,0.12,82.25,0.07,61.30,13.84,82.62,15.82,13.86,6.94,7.67,926.6,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.757,,,05/09/2017,236,327,96,3040,5,10,24,115,96,19,144,,236,3463,38,375,4112,9
TC1,9/11/17,Thame at Wheatley,11,9,17,9:30,9:30,,14.5,7.74,3588,5.22,632,704,734,,0.043,7.89,1.53,0.08,89.65,0.04,75.20,16.98,84.31,18.9,17.01,7.04,7.55,963.9,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,,,12/09/2017,87,168,38,2237,10,10,10,375,43,5,77,,87,2443,29,500,3059,16
TC1,9/18/17,Thame at Wheatley,18,9,17,9:25,9:30,,12.9,7.56,3506,5.25,544,576,650,,0.011,7.31,1.39,0.13,80.70,0.03,63.54,14.35,79.14,15.92,14.35,6.34,7.48,882.9,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.936,,,19/09/2017,106,130,43,1563,19,10,5,394,29,0,111,,106,1736,34,534,2410,22
TC1,9/25/17,Thame at Wheatley,25,9,17,9:20,9:15,,15.1,7.68,3631,6.98,520,582,610,,0.034,6.85,2.94,0.14,70.98,0.06,59.87,13.52,72.21,14.64,13.54,6.94,7.46,818.8,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906,,,26/09/2017,115,279,72,2193,19,24,5,467,303,29,135,,115,2544,48,933,3641,26
TC1,10/2/17,Thame at Wheatley,2,10,17,9:30,9:30,,15,7.68,3394,7.65,514,600,658,,0.017,7.74,2.51,0.16,75.30,0.04,56.90,12.85,76.49,13.16,12.86,6.64,7.41,729.1,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/10/2017,115,197,48,1337,14,10,0,341,58,5,96,,115,1582,24,500,2222,23
TC1,10/9/17,Thame at Wheatley,9,10,17,9:35,9:30,,13,7.8,4031,7.41,598,736,768,,0.043,7.92,1.81,0.11,81.19,0.09,67.19,15.17,83.64,16.02,15.20,5.56,7.63,918,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/10/2017,43,120,58,1226,0,14,5,149,43,0,24,,43,1404,19,216,1683,13
TC1,10/16/17,Thame at Wheatley,16,10,17,9:30,9:30,,15.2,7.67,3620,7.45,604,634,688,,0.049,8.48,2.1,0.10,86.41,0.09,71.06,16.05,85.60,16.72,16.08,5.56,7.63,943.7,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/10/2017,58,125,72,1318,19,19,0,298,77,0,101,,58,1515,38,476,2087,23
TC1,10/23/17,Thame at Wheatley,23,10,17,9:30,9:30,,11.5,7.77,3863,6.47,558,648,696,,0.053,8.74,1.34,0.12,84.66,0.00,70.98,16.03,76.76,17.3,16.06,5.8,7.63,899.3,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/10/2017,58,82,53,741,24,10,10,192,53,5,29,,58,875,43,279,1255,22
TC1,10/30/17,Thame at Wheatley,30,10,17,9:25,9:30,,10,7.77,3914,6.24,622,678,696,,0.053,8.66,1.61,0.11,81.83,0.12,71.09,16.05,84.36,17.76,16.09,5.84,7.34,916.4,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/10/2017,48,67,58,1188,10,14,10,96,29,5,19,,48,1313,34,149,1544,10
TC1,11/6/17,Thame at Wheatley,6,11,17,9:45,9:45,,8.3,7.8,4074,6.18,632,658,692,,0.045,8.29,1.16,0.10,88.64,0.09,70.05,15.82,82.91,17.18,15.85,5.88,7.64,935.3,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/11/2017,29,106,63,1193,14,10,24,130,48,0,67,,29,1361,48,245,1683,15
TC1,11/13/17,Thame at Wheatley,13,11,17,9:20,9:15,,7.6,7.7,3869,5.61,483,498,546,,0.031,7.25,8.72,0.26,65.46,0.40,50.00,11.29,78.73,11.76,11.31,7.12,7.63,817.7,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/11/2017,1097,96,212,1005,0,10,24,265,77,5,24,,1097,1313,34,370,2814,13
TC1,11/20/17,Thame at Wheatley,20,11,17,9:20,9:15,,7.5,7.85,4313,3.16,486,536,584,,0.031,7.78,1.8,0.16,73.50,0.05,58.70,13.26,90.44,14.42,13.28,6.49,7.62,900,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/11/2017,120,82,48,688,5,0,34,120,38,5,5,,120,818,38,168,1145,15
TC1,11/27/17,Thame at Wheatley,27,11,17,9:25,9:30,,6.7,7.84,4126,3.79,470,475,516,,0.082,7.7,0.94,0.15,80.35,1.09,62.92,14.21,84.13,16.72,14.27,7.58,7.46,912.4,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/11/2017,29,120,63,760,10,10,19,101,29,0,5,,29,943,38,135,1145,12
TC1,12/5/17,Thame at Wheatley,5,12,17,9:40,9:45,,6.5,7.81,4109,2.69,483,529,698,,0.09,7.71,1.08,0.12,79.91,0.05,71.72,16.19,87.93,18.6,16.26,6.02,7.85,939,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/12/2017,14,67,14,457,19,0,34,197,72,0,24,,14,539,53,293,899,33
TC1,12/11/17,Thame at Wheatley,11,12,17,9:30,9:30,,3.1,7.86,3928,5.33,464,506,572,,0.192,7.5,0.68,0.22,132.93,0.93,70.53,15.93,85.55,16.42,16.07,6.1,7.35,1088,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2017,29,96,19,890,24,24,14,216,154,14,5,,29,1005,63,390,1486,26
TC1,12/18/17,Thame at Wheatley,18,12,17,9:40,9:45,Higher flow,3.8,7.78,3784,11.04,312,314,396,,0.1,6.24,2.53,0.25,75.40,0.12,65.11,14.70,86.82,15.76,14.77,8.88,7.59,888.9,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/12/2017,53,404,91,2030,24,29,24,447,101,14,0,,53,2525,77,563,3218,17
TC1,1/2/18,Thame at Wheatley,2,1,18,9:30,9:30,high after rain,5.5,7.82,3542,13.05,198,318,398,,0.01,6.65,1.96,0.34,52.70,0.17,52.54,11.86,78.36,12.78,11.87,10.94,7.39,791.9,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/01/2018,67,274,87,2083,53,38,24,495,168,10,5,,67,2443,115,678,3304,21
