Sample ID,Date,Site name,Day,Month,Year,Time,Time rounded,Notes,Temperature (oC),pH,Gran alkalinity μeq/L,Suspended solids mg/L,Soluble reactive phosphorus (μg/L),Total dissolved phosphorus (μg/L),Total phosphorus (μg/L),Total reactive phosphorus (μg/l),Dissolved ammonium (NH4) (mg/l),Dissolved silicon (mg Si/L) ,Chlorophyll-a (μg/L),Dissolved fluoride (mg F/L),Dissolved chloride (mg Cl/L),Dissolved nitrite (mg NO2/L),Dissolved nitrate (NO3),Dissolved Nitrate-N (mg N/L),Dissolved sulphate (mg SO4/L),Total dissolved nitrogen (mg N/L),N check,Dissolved organic carbon (mg/L),Field pH,Conductivity,Eh,DO Temp,% DO,DO     mg/l,,Dissolved Al (ppm),Dissolved B (ppb),Dissolved Ca (ppm),Dissolved Fe (ug/l)),Dissolved K (mg/l),Dissolved Mg (mg/l),Dissolved Na (mg/l),Dissolved P (ppm),Dissolved S (ppm),Dissolved Si (ppm),Dissolved Mn (ug/l),Dissolved Zn (ug/l),Dissolved Cu (ug/l),,Total Na (mg/l),Total Ca (mg/l),Total Mg (mg/l),Total B (ug/l),Total Fe (ug/l),Total Mn (ug/l),Total Zn (ug/l),Total Cu (ug/l),Total Al (ug/l),,Mean daily flow (m3/s),,Site,Date,Green_diatoms,Green_meso,Green meso 2,Green_pico,Crypto 1,Crypto 2,Crypto 3,Cyano1,Cyano2,Cyano3,Cyano4,,,,,,,
TC3,10/09/13,Cherwell at Hampton Poyle,10,9,13,10:10,10:15,,13.9,7.91,4659,21.49,212,231,312,,0.049,7.25,6.46,0.18,70.47,0.00,23.40,5.28,73.59,6.15,5.32,5.48,7.82,859.0,118,,,,,15.36,83.27,114.54,20.69,7.63,9.84,54.45,,,,5.31,2.46,-0.54,,55.74,117.99,10.08,89.18,702.58,29.84,5.98,-0.76,297.95,,1.16,,Thames_PP_03,11/09/2013,933,2751,2044,29859,125,96,14,394,13126,48,717,,,,,,,
TC3,16/09/13,Cherwell at Hampton Poyle,16,9,13,10:05,10:00,,12.4,7.9,4408,23.22,261,286,402,,0.048,3.87,5.13,0.13,70.98,0.00,23.45,5.30,68.10,6.17,5.33,6.31,7.71,803.9,126,,,,,20.04,80.55,95.78,38.88,8.30,9.11,55.10,,,,5.09,2.98,1.05,,54.04,99.06,9.18,81.08,731.82,29.95,7.01,3.10,291.15,,1.2,,Thames_PP_03,18/09/2013,1015,2607,1193,13717,216,130,5,544,7681,63,303,,,,,,,
TC3,23/09/13,Cherwell at Hampton Poyle,23,9,13,10:20,10:15,,13.9,7.84,4378,23.88,255,283,361,,0.042,4.01,4.60,0.14,63.88,0.00,24.44,5.52,70.33,5.50,5.55,5.99,7.78,830.1,148,,,,,20.57,82.68,102.77,25.62,7.93,9.11,51.14,,,,5.88,2.79,0.92,,50.10,104.11,9.16,82.13,758.32,27.29,7.06,3.23,383.74,,0.95,,Thames_PP_03,24/09/2013,630,2559,885,17392,111,101,10,197,5906,34,510,,,,,,,
TC3,30/09/13,Cherwell at Hampton Poyle,30,9,13,10:20,10:15,,14.1,7.91,4447,22.13,237,313,310,,0.035,4.24,5.36,0.19,69.55,0.00,23.67,5.35,71.80,5.53,5.37,5.86,7.83,854.1,136,,,,,16.40,85.76,109.75,28.25,8.16,9.73,50.46,,,,5.54,3.27,1.50,,49.96,107.28,9.61,84.97,685.21,24.26,6.41,1.93,357.05,,0.821,,Thames_PP_03,01/10/2013,544,2963,981,25429,120,87,38,159,6282,19,1299,,,,,,,
TC3,07/10/13,Cherwell at Hampton Poyle,7,10,13,10:35,10:30,,14.2,7.83,4853,18.33,245,266,313,,0.059,4.36,3.04,0.17,78.01,0.00,24.98,5.64,74.24,6.08,5.69,6.25,7.75,903.1,124,,,,,nd,88.46,116.70,28.63,9.70,10.68,55.62,,,,5.34,4.44,0.25,,59.23,111.55,10.57,87.17,647.87,23.77,6.34,2.80,,,0.787,,Thames_PP_03,08/10/2013,447,2742,1198,23654,87,101,14,130,5291,0,664,,,,,,,
TC3,14/10/13,Cherwell at Hampton Poyle,14,10,13,10:30,10:30,,11.0,7.90,4845,20,251,277,312,,0.041,4.35,2.49,0.20,74.20,0.00,25.12,5.67,75.60,5.72,5.70,6.11,7.75,880.0,129,,,,,20.95,88.13,113.90,33.49,9.07,10.15,58.28,,,,5.19,3.36,1.01,,57.81,112.03,10.15,87.46,721.73,26.42,6.34,1.67,329.70,,1.85,,Thames_PP_03,15/10/2013,341,1563,606,13049,43,82,48,82,2275,0,192,,,,,,,
TC3,21/10/13,Cherwell at Hampton Poyle,21,10,13,10:25,10:30,Slightly higher after rain,12.5,7.88,3869,20.48,282,307,387,,0.052,4.03,2.12,0.22,56.37,0.00,23.77,5.37,68.80,5.52,5.41,7.00,7.88,727.9,110,,,,,31.60,74.26,96.23,44.91,7.61,7.23,41.10,,,,6.28,2.97,2.11,,40.37,97.54,7.48,77.84,740.35,24.35,6.39,2.84,466.69,,1.97,,Thames_PP_03,23/10/2013,308,818,303,5878,48,14,0,106,1034,14,53,,,,,,,
TC3,29/10/13,Cherwell at Hampton Poyle,29,10,13,10:15,10:15,High and turbid after heavy rain,11.5,7.89,3718,31.06,239,259,364,,0.047,4.46,3.98,0.25,54.30,0.00,31.67,7.15,78.05,7.23,7.19,6.40,7.76,763.9,109,,,,,24.52,80.99,108.76,43.48,7.48,7.76,38.70,,,,7.06,4.36,0.91,,37.96,108.62,7.83,83.00,1078.94,42.01,8.32,3.67,500.14,,5.81,,Thames_PP_03,31/10/2013,308,1597,293,6214,135,106,0,154,923,19,63,,,,,,,
TC3,04/11/13,Cherwell at Hampton Poyle,4,11,13,10:20,10:15,High and turbid after heavy rain,9.2,7.94,3920,13.59,167,185,249,,0.046,4.85,2.69,0.28,49.64,0.08,32.21,7.27,70.28,7.81,7.31,6.86,7.72,704.6,130,,,,,35.48,75.37,102.09,57.49,5.76,7.04,30.28,,,,7.50,2.78,0.32,,29.35,104.37,7.03,76.42,628.72,21.01,5.19,2.64,392.99,,4.54,,Thames_PP_03,05/11/2013,207,544,101,2193,38,34,14,58,510,5,91,,,,,,,
TC3,11/11/13,Cherwell at Hampton Poyle,11,11,13,10:25,10:30,High after rain,8.2,7.91,3228,18.47,115,125,193,,0.041,4.39,1.09,0.16,36.40,0.00,38.59,8.71,58.10,9.89,8.74,6.75,7.74,622.0,142,,,,,53.15,60.06,91.17,99.48,4.40,5.79,22.01,,,,6.01,3.38,3.33,,22.09,94.17,6.10,64.65,758.42,21.66,5.87,2.31,491.70,,6.26,,Thames_PP_03,12/11/2013,139,442,106,1621,63,53,5,91,500,10,53,,,,,,,
TC3,18/11/13,Cherwell at Hampton Poyle,18,11,13,10:15,10:15,all sites lower   than previous weeks  ,8,8,3678,8.13,108,116,149,,0.038,4.05,0.69,0.20,40.91,0.00,35.13,7.93,65.71,9.04,7.96,4.84,7.93,701.3,88,,,,,22.26,67.96,109.05,45.13,4.56,7.23,25.03,,,,7.95,2.04,1.68,,24.70,110.23,7.22,68.03,401.00,15.76,3.86,1.95,244.86,,3.58,,Thames_PP_03,19/11/2013,106,269,34,1178,63,19,14,0,519,5,82,,,,,,,
TC3,25/11/13,Cherwell at Hampton Poyle,25,11,13,10:05,10:00,,5.9,7.91,4104,6.24,128,130,163,,0.022,3.76,1.19,0.18,44.32,0.00,33.74,7.62,67.11,10.25,7.63,4.52,7.95,737.7,104,,,,,27.74,65.56,105.86,48.94,4.79,6.85,27.31,,,,6.59,1.92,0.65,,26.67,109.91,6.92,66.10,347.19,13.00,3.47,2.52,218.63,,3.23,,Thames_PP_03,27/11/2013,216,442,72,1534,53,34,0,14,226,0,38,,,,,,,
TC3,02/12/13,Cherwell at Hampton Poyle,2,12,13,10:20,10:15,,7,7.96,4161,6.92,151,165,190,,0.024,3.89,0.69,0.20,47.73,0.00,32.99,7.45,68.85,8.68,7.47,4.41,7.92,763.1,104,,,,,9.08,71.51,116.29,25.91,5.25,7.45,31.41,,,,7.89,2.42,2.65,,31.20,117.03,7.54,71.70,280.24,13.75,3.17,0.91,129.94,,2.49,,Thames_PP_03,03/12/2013,130,293,38,1414,34,14,5,0,231,0,34,,,,,,,
TC3,09/12/13,Cherwell at Hampton Poyle,9,12,13,10:15,10:15,,6.7,7.95,4578,6.4,178,184,216,,0.022,3.80,0.96,0.18,50.18,0.00,33.77,7.62,71.28,8.24,7.64,4.51,7.84,791.9,152,,,,,7.50,71.01,116.69,26.70,5.77,8.12,34.13,,,,7.60,2.89,0.38,,34.46,118.62,8.17,71.25,261.50,12.75,3.04,1.28,112.21,,2.15,,Thames_PP_03,10/12/2013,154,269,77,1448,19,0,5,0,115,0,19,,,,,,,
TC3,16/12/13,Cherwell at Hampton Poyle,16,12,13,10:25,10:30,,9,7.94,4592,5.97,177,184,241,,0.040,3.83,1.11,0.17,50.77,0.00,31.06,7.01,71.39,7.79,7.04,4.64,7.85,791.3,161,,,,,13.89,71.30,119.46,32.06,6.02,8.15,35.89,,,,7.45,3.57,1.70,,37.11,120.58,8.26,71.54,299.57,14.39,4.83,1.45,118.30,,2.5,,,,,,,,,,,,,,,,,,,,,
TC3,06/01/14,Cherwell at Hampton Poyle,6,1,13,10:15,10:15,Full spate flow mostly over bank,6.9,7.7,1842,55.25,70,102,253,,0.093,3.57,1.43,0.17,20.37,0.00,26.05,5.88,31.08,6.44,5.95,8.48,7.63,396.1,74,,,,,897.76,39.26,61.81,549.55,3.65,3.58,10.71,,,,5.40,2.61,2.56,,10.59,60.90,3.67,39.37,1378.16,21.57,8.19,4.16,990.33,,25.1,,Thames_PP_03,07/01/2014,91,250,154,1804,24,24,10,63,1188,10,14,,,,,,,
TC3,13/01/14,Cherwell at Hampton Poyle,13,1,14,10:30,10:30,All sites in spate,4.9,7.8,3060,11.63,61,79,226,,0.051,3.86,0.68,0.26,28.50,0.16,38.33,8.65,46.71,9.73,8.69,5.39,7.52,587.8,142,,,,,139.33,45.78,93.04,140.98,3.68,4.94,14.99,,,,3.67,4.44,1.26,,15.08,93.01,4.95,46.30,421.83,8.41,2.90,1.05,441.47,,17.8,,Thames_PP_03,14/01/2014,53,125,34,351,5,14,5,10,173,5,0,,,,,,,
TC3,20/01/14,Cherwell at Hampton Poyle,20,1,14,10:20,10:15,All sites v. High but lower than previous 2 weeks.,5,7.81,3331,15.08,62,68,112,,0.033,3.42,0.47,0.31,28.59,0.08,36.54,8.25,47.14,9.36,8.27,4.07,7.53,605.4,151,,,,,132.87,45.40,90.90,126.38,3.48,4.97,15.07,,,,3.93,1.87,0.99,,15.11,91.38,4.97,45.71,363.94,9.53,2.71,2.56,332.16,,17,,Thames_PP_03,21/01/2014,115,139,34,635,0,19,0,58,221,0,0,,,,,,,
TC3,27/01/14,Cherwell at Hampton Poyle,27,1,14,10:30,10:30,All sites still very high,4,7.85,2812,28.57,48,54,136,,0.030,2.80,1.79,0.24,26.60,0.13,28.88,6.52,38.91,7.29,6.54,4.96,7.55,526.6,151,,,,,348.92,42.04,82.59,266.84,3.36,4.43,14.85,,,,3.87,2.43,0.47,,14.63,84.21,4.54,42.85,569.45,12.22,4.35,2.86,497.74,,19.8,,Thames_PP_03,29/01/2014,221,404,130,1453,43,24,14,19,1106,5,29,,,,,,,
TC3,03/02/14,Cherwell at Hampton Poyle,3,2,14,10:25,10:30,All sites very high-out of bank,4.9,7.94,2800,37.17,45,54,139,,0.027,2.99,2.21,0.23,22.75,0.00,27.26,6.16,35.56,6.61,6.17,5.71,7.58,484.2,149,,,,,447.13,38.84,71.81,406.73,3.33,4.01,12.09,,,,3.54,2.77,1.55,,12.30,73.05,4.07,39.05,613.39,9.76,4.64,2.68,523.68,,20.4,,Thames_PP_03,04/02/2014,212,356,106,1202,38,19,0,38,524,0,38,,,,,,,
TC3,10/02/14,Cherwell at Hampton Poyle,10,2,14,, ,Site inaccessible due to flooding,,,,,,,,,, ,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,
TC3,17/02/14,Cherwell at Hampton Poyle,17,2,14,10:35,10:30,In spate,5.6,7.86,3288,35.71,35,37,107,,0.032,2.11,3.37,0.22,26.36,0.00,25.36,5.73,34.80,6.35,5.75,3.97,7.51,475.3,143,,,,,355.58,40.89,77.50,293.29,3.33,4.23,13.80,,,,3.14,2.55,4.13,,14.60,85.22,4.50,45.42,762.04,10.51,4.19,2.21,808.77,,20.2,,Thames_PP_03,19/02/2014,385,260,120,1212,48,43,5,24,611,0,173,,,,,,,
TC3,24/02/14,Cherwell at Hampton Poyle,24,2,14,10:20,10:15,All still high but lower than previous weeks,8.4,8.01,3631,8.37,46,42,72,,0.028,2.48,3.55,0.22,31.52,0.00,37.76,8.53,51.70,9.54,8.55,3.62,7.72,613.6,137,,,,,8.98,46.26,100.01,20.30,3.61,5.28,16.15,,,,5.92,2.14,-0.25,,16.31,100.83,5.31,46.37,269.82,11.38,2.45,0.55,203.33,,11.5,,Thames_PP_03,25/02/2014,303,260,48,1217,38,5,5,14,77,10,24,,,,,,,
TC3,03/03/14,Cherwell at Hampton Poyle,3,3,14,10:40,10:45,All higher after recent rain,6.5,7.85,3067,14.58,31,38,85,,0.033,1.90,4.20,0.22,25.91,0.00,27.54,6.22,40.42,7.07,6.24,4.60,7.49,534.1,140,,,,,98.22,43.45,85.61,105.07,3.26,4.64,14.74,,,,3.94,2.32,2.22,,,,,,,,,,,,17.8,,Thames_PP_03,04/03/2014,524,568,178,1837,58,29,0,14,442,5,48,,,,,,,
TC3,10/03/14,Cherwell at Hampton Poyle,10,3,14,10:30,10:30,Still high but much lower than recent weeks,8.9,7.96,3935,7.98,61,60,73,,0.042,2.96,2.62,0.22,31.50,0.00,35.08,7.92,51.55,8.54,7.95,4.06,7.68,628.1,128,,,,,12.71,49.08,102.29,21.57,3.70,5.42,17.45,,,,6.67,1.70,4.16,,,,,,,,,,,,8.48,,Thames_PP_03,11/03/2014,856,1010,111,1818,48,29,0,19,216,19,67,,,,,,,
TC3,17/03/14,Cherwell at Hampton Poyle,17,3,14,10:25,10:30,All at normal flow now,9.9,8.21,4282,5.4,73,108,120,,0.017,2.83,6.15,0.20,35.47,0.00,38.00,8.58,58.00,10.40,8.59,3.96,7.84,668.9,122,,,,,12.76,52.97,110.34,14.72,4.03,5.83,19.95,,,,6.86,2.72,2.35,,,,,,,,,,,,5.88,,,,,,,,,,,,,,,,,,,,,
TC3,24/03/14,Cherwell at Hampton Poyle,24,3,14,10:15,10:15,,7.9,8.15,4029,4.02,68,94,98,,0.026,2.17,17.93,0.21,39.32,0.13,33.71,7.61,57.70,9.30,7.63,3.92,8.06,689.1,118,,,,,1.55,54.40,109.84,7.58,4.20,6.15,23.62,,,,6.33,2.25,0.71,,,,,,,,,,,,4.77,,Thames_PP_03,25/03/2014,2895,3338,144,6291,284,82,10,14,298,5,245,,,,,,,
TC3,31/03/14,Cherwell at Hampton Poyle,31,3,14,10:30,10:30,,10.8,8.2,3900,5.96,60,96,116,,0.057,1.90,53.70,0.21,41.75,0.00,35.25,7.96,61.99,8.42,8.00,3.76,8.07,734.9,123,,,,,4.28,56.83,105.29,7.79,4.39,5.99,23.74,,,,5.49,1.03,0.85,,,,,,,,,,,,4.78,,Thames_PP_03,01/04/2014,4002,4237,231,6108,226,24,10,24,447,5,462,,,,,,,
TC3,07/04/14,Cherwell at Hampton Poyle,7,4,14,10:15,10:15,,12.2,7.9,4189,4.06,72,79,105,,0.063,2.41,17.36,0.23,36.41,0.00,33.94,7.66,58.37,9.15,13.23,3.58,7.82,676.8,133,,,,,-4.65,56.29,112.53,9.73,4.06,6.06,20.73,,,,5.92,2.19,1.79,,,,,,,,,,,,4.28,,Thames_PP_03,08/04/2014,2496,3704,1058,6426,269,19,24,19,669,0,370,,,,,,,
TC3,14/04/14,Cherwell at Hampton Poyle,14,4,14,10:20,10:15,,11.2,8.14,4252,11.36,81,72,145,,0.037,2.28,23.65,0.23,42.48,0.00,33.03,7.46,61.63,8.90,13.94,4.30,7.89,717.6,161,,,,,7.21,60.22,112.63,17.02,4.73,6.69,26.30,,,,6.33,2.31,2.26,,,,,,,,,,,,3.37,,Thames_PP_03,16/04/2014,6541,5733,1135,9317,197,19,0,58,1477,0,173,,,,,,,
TC3,22/04/14,Cherwell at Hampton Poyle,22,4,14,10:10,10:15,Slightly turbid and higher after recent rain,11.2,8.15,4881,17.46,51,44,172,,0.021,1.46,110.57,0.20,45.83,0.00,31.23,7.05,62.76,8.02,14.18,4.12,8.08,731,117,,,,,4.89,60.10,108.83,10.37,4.50,7.04,26.26,,,,2.98,2.15,0.64,,,,,,,,,,,,3.92,,Thames_PP_03,23/04/2014,33846,16988,1419,8201,726,135,29,130,3001,19,741,,,,,,,
TC3,28/04/14,Cherwell at Hampton Poyle,28,4,14,10:20,10:15,Higher after rain,11.8,7.94,3760,17.98,98,96,186,,0.059,2.88,32.13,0.22,36.14,0.00,35.10,7.93,56.20,8.91,12.73,5.18,7.7,634.5,120,,,,,21.40,65.09,97.23,45.85,4.46,6.00,21.56,,,,5.00,2.80,1.40,,,,,,,,,,,,4.67,,Thames_PP_03,29/04/2014,6912,5575,813,6609,399,178,19,115,2689,29,125,,,,,,,
TC3,06/05/14,Cherwell at Hampton Poyle,6,5,14,10:30,10:30,,13.4,8.10,4220,14.94,115,120,189,,0.044,2.33,24.56,0.23,41.53,0.00,30.39,6.86,62.85,7.58,14.22,3.70,8.08,697.7,228,,,,,nd,70.39,108.07,13.80,4.79,6.78,25.70,,,,7.73,4.86,3.89,,,,,,,,,,,,3.06,,Thames_PP_03,07/05/2014,7234,10177,779,7806,471,173,38,67,2713,48,144,,,,,,,
TC3,12/05/14,Cherwell at Hampton Poyle,12,5,14,10:25,10:30,,13.2,8.10,4156,12,161,182,237,,0.031,2.09,23.08,0.23,43.90,0.00,27.88,6.29,61.70,6.60,13.95,4.12,8.04,716.5,87,,,,,5.48,67.81,106.46,18.80,4.77,6.80,27.90,,,,6.04,3.49,3.32,,,,,,,,,,,,3.01,,Thames_PP_03,13/05/2014,6359,8566,572,9802,399,87,10,91,3718,38,178,,,,,,,
TC3,19/05/14,Cherwell at Hampton Poyle,19,5,14,10:45,10:45,,16.9,8.09,4383,10.76,117,116,175,,0.042,1.21,46.51,0.20,42.24,0.00,26.71,6.03,64.05,6.17,14.49,5.01,7.74,705.1,92,,,,,2.24,69.59,107.14,12.70,4.57,6.75,26.09,,,,4.52,2.80,2.70,,,,,,,,,,,,2.28,,Thames_PP_03,20/05/2014,15040,22269,914,22178,669,130,82,188,5781,72,337,,,,,,,
TC3,27/05/14,Cherwell at Hampton Poyle,27,5,14,10:25,10:30,Slightly higher after rain but mostly clear,13.3,7.97,3596,13.9,132,137,209,,0.069,3.14,14.44,0.23,35.15,0.00,24.88,5.62,52.59,5.78,11.93,5.77,7.75,621.5,114,,,,,nd,66.36,91.20,44.83,4.70,5.81,21.47,,,,4.92,3.53,5.55,,,,,,,,,,,,4.92,,Thames_PP_03,28/05/2014,5632,27132,1467,8032,293,120,29,414,4694,149,192,,,,,,,
TC3,02/06/14,Cherwell at Hampton Poyle,2,6,14,10:55,11:00,River level high,17.4,7.73,3481,21.28,84,104,186,,0.079,4.81,10.27,0.29,29.87,0.04,21.56,4.87,51.18,3.78,11.61,7.97,7.72,579,39,,,,,nd,69.01,86.80,61.63,4.23,5.49,17.04,,,,6.81,4.53,10.88,,,,,,,,,,,,7.1,,Thames_PP_03,03/06/2014,1491,7056,630,8306,164,101,0,216,2655,53,24,,,,,,,
TC3,10/06/14,Cherwell at Hampton Poyle,10,6,14,10:35,10:30,,17.4,8.07,4135,12.03,102,105,164,,0.054,3.68,14.34,0.29,36.14,0.00,21.10,4.76,57.43,4.66,13.01,6.10,8.02,637.4,181,,,,,nd,72.75,98.10,22.90,4.33,6.11,21.52,,,,9.38,2.47,3.54,,,,,,,,,,,,3.41,,Thames_PP_03,11/06/2014,4117,11264,938,13111,341,115,19,91,4305,67,139,,,,,,,
TC3,16/06/14,Cherwell at Hampton Poyle,16,6,14,10:25,10:30,,17.2,8.03,4434,10.06,124,131,160,,0.050,3.25,7.38,0.24,44.98,0.10,26.11,5.89,59.90,6.41,5.9,4.45,7.88,732.8,133,,,,,nd,73.40,108.68,11.35,5.71,7.10,27.93,,,,7.91,3.60,5.71,,,,,,,,,,,,2.43,,Thames_PP_03,16/06/2014,1193,4771,568,17604,409,43,19,111,3622,29,120,,,,,,,
TC3,23/06/14,Cherwell at Hampton Poyle,23,6,14,10:40,10:45,,18.5,8.08,4296,8.45,113,116,160,,0.048,2.91,6.37,0.22,45.25,0.00,24.54,5.54,64.52,6.08,5.6,5.37,7.83,735.5,125,,,,,0.93,87.72,109.17,9.29,5.21,7.52,29.24,,,,7.33,3.48,4.04,,,,,,,,,,,,1.95,,Thames_PP_03,24/06/2014,1429,5262,1784,46203,519,63,38,197,6007,0,154,,,,,,,
TC3,30/06/14,Cherwell at Hampton Poyle,30,6,14,10:45,10:45,,17.1,8.03,4525,7.51,137,140,181,,0.030,2.89,4.51,0.23,58.91,0.00,26.07,5.89,64.35,6.21,5.9,4.59,7.85,814.9,59,,,,,4.83,82.65,111.25,13.46,5.92,8.25,38.00,,,,6.54,3.25,5.03,,,,,,,,,,,,2.32,,Thames_PP_03,01/07/2014,794,5526,1876,45510,226,48,14,115,6291,0,231,,,,,,,
TC3,07/07/14,Cherwell at Hampton Poyle,7,7,14,10:10,10:15,,17.8,8.07,4316,10.14,146,173,198,,0.089,2.94,6.08,0.22,53.06,0.00,26.24,5.92,61.91,6.54,6.0,5.24,7.83,758.8,114,,,,,nd,87.93,110.31,30.86,6.00,7.55,35.35,,,,6.84,6.13,8.74,,,,,,,,,,,,1.7,,Thames_PP_03,08/07/2014,1039,6132,1664,51652,245,48,24,168,9398,5,356,,,,,,,
TC3,14/07/14,Cherwell at Hampton Poyle,14,7,14,11:05,11:00,,18,7.98,4555,9.72,139,149,199,,0.045,2.78,6.66,0.21,50.64,0.00,21.88,4.94,64.23,5.40,5.0,4.50,7.77,744.1,109,,,,,nd,81.26,107.41,10.59,5.64,7.19,34.06,,,,6.58,2.98,2.49,,,,,,,,,,,,1.35,,Thames_PP_03,15/07/2014,1308,7662,2121,59954,938,106,10,149,16719,24,462,,,,,,,
TC3,21/07/14,Cherwell at Hampton Poyle,21,7,14,10:20,10:15,People and dogs in the river.,20,8.02,4434,13.07,159,181,220,,0.075,3.10,8.57,0.21,55.10,0.95,24.08,5.44,66.21,5.41,5.5,5.30,7.96,770.6,80,,,,,nd,84.60,110.35,11.99,6.45,7.61,37.96,,,,5.81,4.96,5.44,,,,,,,,,,,,1.68,,Thames_PP_03,24/07/2014,1327,5050,2467,45803,303,91,19,438,11399,24,327,,,,,,,
TC3,28/07/14,Cherwell at Hampton Poyle,28,7,14,10:10,10:15,,19.4,7.96,4433,11.66,127,172,217,,0.018,3.16,6.63,0.23,55.79,0.00,21.34,4.82,65.02,5.33,4.8,5.26,7.68,770.4,93,,,,,nd,85.17,107.08,22.29,6.30,7.72,37.17,,,,7.10,3.66,4.59,,,,,,,,,,,,1.11,,Thames_PP_03,29/07/2014,1140,6580,4641,87812,875,197,72,438,31162,48,601,,,,,,,
TC3,11/08/14,Cherwell at Hampton Poyle,11,8,14,10:10,10:15,A little higher after rain,17,8,3380,15.74,186,233,310,,0.06 ,3.47,8.46,0.22,66.51,0.00,23.89,5.39,64.80,5.46,5.4,6.27,7.76,786.4,121,,,,,nd,88.86,103.68,109.80,7.16,8.50,45.32,,,,8.96,3.90,2.27,,,,,,,,,,,,2.09,,,,,,,,,,,,,,,,,,,,,
TC3,18/08/14,Cherwell at Hampton Poyle,18,8,14,10:30,10:30,,15.7,7.92,4381,13.43,176,187,249,,0.037,3.66,5.46,0.22,49.45,0.03,19.21,4.34,62.18,4.34,4.4,5.21,7.74,715.3,117,,,,,nd,75.47,102.78,19.91,6.07,7.17,32.20,,,,5.76,3.61,4.48,,,,,,,,,,,,1.11,,Thames_PP_03,19/08/2014,1169,4632,2217,40142,111,43,19,341,24732,38,236,,,,,,,
TC3,26/08/14,Cherwell at Hampton Poyle,26,8,14,10:15,10:15,,15,8.03,4229,14.65,177,178,227,,0.038,3.38,6.75,0.23,60.87,0.00,22.77,5.14,66.83,5.33,5.2,4.21,7.8,807.9,73,,,,,10.78,76.36,104.65,15.68,6.23,7.18,38.27,,,,5.23,3.49,1.80,,,,,,,,,,,,1.92,,,,,,,,,,,,,,,,,,,,,
TC3,01/09/14,Cherwell at Hampton Poyle,1,9,14,11:15,11:15,,16,7.98,3905,11.42,181,197,244,,0.037,3.53,4.65,0.24,52.61,0.00,18.57,4.19,68.18,4.39,4.2,5.44,7.66,715,160,,,,,9.42,78.15,99.42,23.85,6.59,6.88,34.51,,,,5.85,3.30,3.26,,,,,,,,,,,,1.2,,Thames_PP_03,02/09/2014,928,3314,1554,35688,63,24,5,212,15425,53,197,,,,,,,
TC3,08/09/14,Cherwell at Hampton Poyle,8,9,14,10:20,10:15,Dogs in river,15.9,7.93,4357,15.88,207,193,243,,0.098,3.66,4.31,0.21,66.56,0.00,21.45,4.84,71.90,5.47,4.9,7.90,7.84,792.7,113,,,,,nd,85.51,110.09,21.95,7.01,7.45,44.27,,,,5.92,4.99,10.17,,,,,,,,,,,,1,,Thames_PP_03,09/09/2014,875,3631,2371,48593,149,96,24,361,17714,10,630,,,,,,,
TC3,15/09/14,Cherwell at Hampton Poyle,15,9,14,10:35,10:30,,15.2,7.97,4586,14.51,197,229,249,,0.041,3.53,2.03,0.22,59.22,0.27,24.63,5.56,71.04,5.96,5.6,4.96,7.7,775.9,133,,,,,nd,83.02,108.39,30.02,7.01,7.58,40.03,,,,5.81,3.90,4.29,,,,,,,,,,,,0.892,,Thames_PP_03,16/09/2014,871,3304,2063,51859,135,34,10,255,19114,5,919,,,,,,,
TC3,22/09/14,Cherwell at Hampton Poyle,22,9,14,11:00,11:00,,14.6,7.99,4493,14.87,201,247,261,,0.047,3.44,5.05,0.22,65.30,0.16,24.72,5.58,73.81,5.79,5.6,4.48,7.67,796.5,94,,,,,nd,86.69,109.80,41.73,7.63,7.67,40.85,,,,6.36,4.27,5.88,,,,,,,,,,,,0.962,,Thames_PP_03,23/09/2014,798,3064,1664,38608,48,38,0,178,11914,24,467,,,,,,,
TC3,29/09/14,Cherwell at Hampton Poyle,29,9,14,10:40,10:45,,15.1,7.98,4352,14.79,257,264,332,,0.041,3.57,4.37,0.22,65.90,0.68,22.54,5.09,73.55,5.12,5.1,6.06,7.62,815.8,123,,,,,nd,79.77,109.44,36.69,7.83,7.60,45.53,,,,5.41,3.29,2.13,,,,,,,,,,,,0.855,,Thames_PP_03,30/09/2014,851,3030,1568,37184,269,43,10,337,10654,5,1077,,,,,,,
TC3,06/10/14,Cherwell at Hampton Poyle,6,10,14,10:30,10:30,,12.5,7.98,4595,13.44,214,222,268,,0.070,3.82,2.30,0.23,69.00,0.00,21.21,4.79,92.93,4.75,4.8,7.05,7.67,853.9,142,,,,,10.66,95.71,113.64,27.52,8.50,8.43,47.14,,,,6.17,4.47,1.75,,,,,,,,,,,,1.01,,Thames_PP_03,07/10/2014,548,2424,1116,27142,130,38,5,168,6767,14,582,,,,,,,
TC3,13/10/14,Cherwell at Hampton Poyle,13,10,14,10:45,10:45,,11,7.95,4132,14.89,238,258,320,,0.030,3.63,2.76,0.21,62.84,0.00,21.37,4.83,65.25,4.53,4.8,5.20,7.64,766.9,132,,,,,15.27,81.17,99.24,38.51,8.03,7.25,44.16,,,,5.81,4.66,4.07,,,,,,,,,,,,1.18,,Thames_PP_03,14/10/2014,630,1664,895,12967,38,38,10,212,2078,5,236,,,,,,,
